"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6735","Remove item from cart","firefox","Tue Jan 06 07:44:25 UTC 2026","passed","Tue Jan 06 07:44:31 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","15936","Complete purchase flow - Add to cart, checkout, and complete order","firefox","Tue Jan 06 07:44:04 UTC 2026","passed","Tue Jan 06 07:44:20 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","5941","Sort products by price low to high","webkit","Tue Jan 06 07:45:43 UTC 2026","passed","Tue Jan 06 07:45:49 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6668","Logout successfully","chromium","Tue Jan 06 07:43:31 UTC 2026","passed","Tue Jan 06 07:43:37 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","4604","Login with invalid credentials should show error","firefox","Tue Jan 06 07:44:20 UTC 2026","passed","Tue Jan 06 07:44:25 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6732","Logout successfully","firefox","Tue Jan 06 07:44:37 UTC 2026","passed","Tue Jan 06 07:44:44 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","12860","Mobile Iphone Purchase with Video Recording and Screenshots","chromium","Tue Jan 06 07:43:50 UTC 2026","passed","Tue Jan 06 07:44:03 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","5774","Sort products by price low to high","firefox","Tue Jan 06 07:44:31 UTC 2026","passed","Tue Jan 06 07:44:37 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","13482","Mobile Iphone Purchase with Video Recording and Screenshots","webkit","Tue Jan 06 07:46:10 UTC 2026","passed","Tue Jan 06 07:46:23 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","13037","Mobile Iphone Purchase with Video Recording and Screenshots","firefox","Tue Jan 06 07:44:57 UTC 2026","passed","Tue Jan 06 07:45:10 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","12889","Mobile Android Purchase with Video and Screenshots","chromium","Tue Jan 06 07:43:37 UTC 2026","passed","Tue Jan 06 07:43:50 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","13490","Mobile Iphone Purchase with Video Recording and Screenshots","iPhone 16","Tue Jan 06 07:46:24 UTC 2026","passed","Tue Jan 06 07:46:37 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","13029","Mobile Android Purchase with Video and Screenshots","firefox","Tue Jan 06 07:44:44 UTC 2026","passed","Tue Jan 06 07:44:57 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","13448","Mobile Android Purchase with Video and Screenshots","webkit","Tue Jan 06 07:45:56 UTC 2026","passed","Tue Jan 06 07:46:09 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","19554","Complete purchase flow - Add to cart, checkout, and complete order","webkit","Tue Jan 06 07:45:11 UTC 2026","passed","Tue Jan 06 07:45:31 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","4751","Login with invalid credentials should show error","webkit","Tue Jan 06 07:45:31 UTC 2026","passed","Tue Jan 06 07:45:36 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","13172","Mobile Android Purchase with Video and Screenshots","Samsung S25","Tue Jan 06 07:46:38 UTC 2026","passed","Tue Jan 06 07:46:51 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","4611","Login with invalid credentials should show error","chromium","Tue Jan 06 07:43:14 UTC 2026","passed","Tue Jan 06 07:43:18 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","15105","Complete purchase flow - Add to cart, checkout, and complete order","chromium","Tue Jan 06 07:42:57 UTC 2026","passed","Tue Jan 06 07:43:12 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6889","Logout successfully","webkit","Tue Jan 06 07:45:49 UTC 2026","passed","Tue Jan 06 07:45:56 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","5613","Sort products by price low to high","chromium","Tue Jan 06 07:43:25 UTC 2026","passed","Tue Jan 06 07:43:31 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6581","Remove item from cart","chromium","Tue Jan 06 07:43:18 UTC 2026","passed","Tue Jan 06 07:43:25 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","7001","Remove item from cart","webkit","Tue Jan 06 07:45:36 UTC 2026","passed","Tue Jan 06 07:45:43 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
